,Pop,PAV,SSV,MSV
0,"""never look back,"" we said 
 how was i to know ""i'd"" miss you so ? 
 how do i say ? 
 
 i love you the way i do 
 i do i do 
 i do i do 
 i do 
 
 i hate to make you feel my own 
 i like the way that you move 
 
 baby i like it 
 baby i like it 
 i like it mare 
 i like it like it 
 
 nanananananana 
 nanananananana 
 nanananananana 
 nanananananana 
 nanananananana baby 
 nanananananana baby baby 
 
 i'm gon' be manicured 
 
 you can be my insomnia 
 you don't",0.5941965175302542,1.0,0.5259273477811964
1,"look at those beautiful eyes 
 she reminds me so much of me 
 starting out of the crowd 
 and i didn't know my heart 
 i wrote you a star 
 i could be the only one who understands 
 and i ain't trying to let you go 
 
 you say you love me i got a man 
 you know you got me 
 you got me hatin' 
 you got me you got me 
 you got me with you 
 you got me 
 you got me 
 you got me 
 you got me 
 you got me 
 
 you got me you got me 
 you got",0.5815691345254763,1.0,0.5007209942417559
2,"chestnuts roasting on an open fire 
 jack frost nipping at your nose 
 yuletide carols in the bucket and 
 i'm not the only one 
 
 i'm just a man 
 i'm a villain and a liar 
 i'm a monster 
 i'm a prima donna 
 i'm a prima donna a prima 
 i'm a prima donna 
 i'm a prima donna 
 i'm a prima donna 
 i'm a prima donna 
 i'm a prima donna 
 i'm a prima donna 
 i'm a prima donna 
 i'm a prima donna 
 i'm a prima donna 
 i'm a prima donna 
 i'm a prima donna 
 i'm a prima donna 
",0.7337498214830119,1.0,0.5117022003603192
3,"if you love somebody 
 put a light in the air 
 from the hood to the s 
 
 
 i wish i could feel the pain 
 i wish i could feel the pain 
 i wish i could feel it all alone 
 i wish i could feel the same way you do 
 and i don't want to hide from the start 
 
 and i know you wanna make a little 
 but when i go to vegas i get my hands up 
 get up get up get up get up 
 
 
 get up get up get up get up 
 get up get up get up get",0.0,1.0,0.5256374784856944
4,"my friend, hmm my love 
 faded, oh 
 
 it was overcast that day 
 i was feeling a woman 
 i woke up in the kitchen 
 i found a new place 
 i found a new love 
 i found a new found a new a new 
 i never knew this never knew 
 and i was living in a heart that i could do 
 
 i wanted to be a star 
 i would be there 
 
 i i would not lie 
 i would have never to let you go 
 i need you to stay stay stay stay stay stay 
 
 i don't want to be",0.40019677975734735,1.0,0.489289933488865
5,"""i'm"" friends with the monster ""that's"" under my bed 
 get along with the voices inside 
 so i'm so shattered 
 
 baby i 
 i know you want me 
 but i want you baby 
 i want you 
 i want you 
 i want you 
 i want you 
 i want you 
 i want you 
 i want you 
 i want you 
 oh 
 i want you 
 i want you baby 
 i want you 
 i want you 
 i want you 
 i want you 
 i want you 
 i want you 
 i want you 
 i want you 
 i want you",0.7718289814226319,1.0,0.5211040336914937
6,"you used to say that ""i'd"" never be 
 ""nothin'"" without you, and ""i'd"" believe 
 
 this is not the only thing it's the only thing i won't be 
 i know i can't even see the state of the world 
 'cause my heart is falling in love 
 and i know that you are the one 
 
 oh i can't keep you on the way 
 and i guess i miss you 
 i miss you so much 
 i miss you so so i do 
 i miss you so so i do 
 i miss you so so i do 
 i miss you so so i do 
 i",0.5381920186607456,1.0,0.5052643962236453
7,"las vegas nights 
 have been calling 
 but i wait to see her float down 
 
 it was the only one i get 
 but i was just the time 
 
 i was broken i was waiting for you 
 and you had a freak of my life 
 and i i i i i i i i i i i i i i i i i i i i i i i 
 i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i i 
 i",0.4145423971006221,1.0,0.5188621614197028
8,"how dare you say that my ""behavior's"" unacceptable 
 so condescending unnecessarily critical 
 i have my swagger 
 with a whole 'nother 
 i just wanna see you 
 you can take me 
 you can run you can hide 
 you can run this 
 but you can't make me 
 you can hide the days 
 and never say that i can see 
 and i know that i can see 
 
 i know that you want me 
 and i know that i love you 
 but i love you so 
 i love you so i love you 
 i love you so i love you 
 i love you",0.49468014069497557,1.0,0.4872028418697102
9,"mr. worldwide ! 
 ha ha ha 
 with the mami, with the sexiest body 
 and if you could be with her 
 she said that she could be so much 
 and i can't be strong 
 i can't be your girl 
 
 i don't want to be a prisoner of you 
 
 if you want me to 
 you can keep me on 
 you won't me 
 
 i'm not gonna stop 
 i know that i can tell it 
 but i can't stand it 
 i just wanna take it off 
 i just wanna take it off 
 
 you feel it 
 i wanna see ya",0.3903355396564437,1.0,0.5006789477535625
